Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","TaxTables/DbSg/from TaxTablesProxySgC8BAAA63:5433","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","TaxTables/DbSg/from TaxTablesProxySgC8BAAA63:{IndirectPort}","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","TaxTables/ProxySg/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/ProxySg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/ProxySg/from TaxTablesLambdaSg4993A0C0:5433","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","TaxTables/LambdaSg/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/LambdaSg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-SMG4","TaxTables/Database/Secret/Resource","Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-RDS2","TaxTables/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS3","TaxTables/Database/Resource","Compliant","N/A","Error","The non-Aurora RDS DB instance does not have multi-AZ support enabled."
"AwsSolutions-RDS10","TaxTables/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","TaxTables/Database/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS13","TaxTables/Database/Resource","Compliant","N/A","Error","The RDS instance is not configured for automated backups."
"AwsSolutions-IAM4","TaxTables/Proxy/IAMRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Proxy/IAMRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Proxy/IAMRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","TaxTables/IngestApi/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","TaxTables/IngestApi/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/IngestApi/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/IngestApi/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/IngestApi/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/IngestApi/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","TaxTables/IngestApi/Resource","Suppressed","Runtime pinned to Python 3.12 — the interpreter the entire project is developed, typed (mypy strict), and CI-tested on (requires-python >=3.12). Moving the fleet to a newer runtime before the test matrix moves is the actual technical debt this rule warns about; revisited on every dependency refresh.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","TaxTables/Extract/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","TaxTables/Extract/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Extract/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","TaxTables/Extract/Resource","Suppressed","Runtime pinned to Python 3.12 — the interpreter the entire project is developed, typed (mypy strict), and CI-tested on (requires-python >=3.12). Moving the fleet to a newer runtime before the test matrix moves is the actual technical debt this rule warns about; revisited on every dependency refresh.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","TaxTables/MapAndVerify/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","TaxTables/MapAndVerify/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/MapAndVerify/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/MapAndVerify/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/MapAndVerify/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","TaxTables/MapAndVerify/Resource","Suppressed","Runtime pinned to Python 3.12 — the interpreter the entire project is developed, typed (mypy strict), and CI-tested on (requires-python >=3.12). Moving the fleet to a newer runtime before the test matrix moves is the actual technical debt this rule warns about; revisited on every dependency refresh.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","TaxTables/Persist/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","TaxTables/Persist/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Persist/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Persist/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","TaxTables/Persist/Resource","Suppressed","Runtime pinned to Python 3.12 — the interpreter the entire project is developed, typed (mypy strict), and CI-tested on (requires-python >=3.12). Moving the fleet to a newer runtime before the test matrix moves is the actual technical debt this rule warns about; revisited on every dependency refresh.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","TaxTables/Adjudicate/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","TaxTables/Adjudicate/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] AWSLambdaBasicExecutionRole / AWSLambdaVPCAccessExecutionRole on CDK-generated Lambda roles: log-write and ENI-management permissions only, the documented minimal baseline for VPC Lambdas; replacing them with inline copies duplicates AWS-maintained policy with no privilege reduction. Also covers the API Gateway account CloudWatch role (AmazonAPIGatewayPushToCloudWatchLogs), which is log-write only.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Adjudicate/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Adjudicate/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Adjudicate/ServiceRole/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","TaxTables/Adjudicate/Resource","Suppressed","Runtime pinned to Python 3.12 — the interpreter the entire project is developed, typed (mypy strict), and CI-tested on (requires-python >=3.12). Moving the fleet to a newer runtime before the test matrix moves is the actual technical debt this rule warns about; revisited on every dependency refresh.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","TaxTables/Pipeline/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SF1","TaxTables/Pipeline/Resource","Compliant","N/A","Error","The Step Function does not log ""ALL"" events to CloudWatch Logs."
"AwsSolutions-SF2","TaxTables/Pipeline/Resource","Compliant","N/A","Error","The Step Function does not have X-Ray tracing enabled."
"AwsSolutions-IAM5","TaxTables/Pipeline/DistributedMapPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","TaxTables/Pipeline/DistributedMapPolicy/Resource","Suppressed","Three wildcard classes, each the narrowest expressible grant: (1) textract:AnalyzeDocument supports no resource-level permissions, so '*' is mandatory; (2) the Bedrock grant is scoped to foundation-model/anthropic.* with a region wildcard because cross-region inference profiles resolve to regional model ARNs; (3) CDK grant helpers emit object-suffix (<bucket-arn>/*), Lambda version (:*), X-Ray/log-delivery, and DistributedMap child-execution wildcards that are the service-documented shapes for those grants.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
